"filename", "language", "Markdown", "C++", "CMake", "YAML", "JSON", "Dart", "HTML", "XML", "Kotlin", "Kotlinscript", "Properties", "comment", "blank", "total"
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\playlist_preview_grid.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 66
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\playlist_preview_list.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\shimmer_demo.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 2, 6, 87
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\shimmer_widgets.dart", "Dart", 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 21, 12, 388
"d:\code\DACN\DACN_Flutter\DACN\lib\widgets\waveform_progress_bar.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 2, 24, 154
"d:\code\DACN\DACN_Flutter\DACN\pubspec.yaml", "YAML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 10, 57
"d:\code\DACN\DACN_Flutter\DACN\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"d:\code\DACN\DACN_Flutter\DACN\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\code\DACN\DACN_Flutter\DACN\windows\CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
